x,wpdf,fpdf,supdf,sppdf
2.3141314131413138,0.33509861516958855,0.23328023745690094,0.20489403128516173,0.2649001336066766
2.3154565456545653,0.335128526679021,0.2333113749413185,0.20499089517349645,0.2649930760588855
2.3167816781678168,0.3351579731608341,0.23334232920936254,0.20508758009130673,0.26508571441607875
2.318106810681068,0.33518695502689405,0.23337310040132003,0.2051840859993727,0.2651780487217685
2.3194319431943193,0.33521547269026764,0.23340368865765435,0.20528041285896645,0.26527007902038235
2.3207570757075704,0.33524352656521944,0.23343409411900498,0.2053765606318505,0.2653618053572609
2.322082208220822,0.33527111706720564,0.23346431692618638,0.20547252928027804,0.26545322777865615
2.3234073407340734,0.3352982446128684,0.23349435722018724,0.20556831876699155,0.26554434633172924
2.3247324732473245,0.3353249096200336,0.23352421514217006,0.20566392905522207,0.26563516106454826
2.326057605760576,0.33535111250770294,0.23355389083346992,0.20575936010868856,0.2657256720260873
2.327382738273827,0.3353768536960513,0.23358338443559365,0.20585461189159734,0.26581587926622324
2.3287078707870785,0.3354021336064217,0.2336126960902196,0.20594968436864072,0.26590578283573474
2.33003300330033,0.3354269526613185,0.23364182593919633,0.20604457750499697,0.26599538278629964
2.331358135813581,0.33545131128440564,0.23367077412454215,0.20613929126632888,0.2660846791704932
2.3326832683268326,0.3354752099004987,0.23369954078844415,0.20623382561878362,0.26617367204178655
2.3340084008400837,0.3354986489355634,0.2337281260732576,0.2063281805289912,0.2662623614545439
2.335333533353335,0.33552162881670733,0.23375653012150474,0.20642235596406486,0.2663507474640216
2.3366586658665867,0.33554414997217824,0.2337847530758749,0.20651635189159886,0.26643883012636516
2.3379837983798377,0.33556621283135674,0.23381279507922265,0.20661016827966883,0.26652660949860796
2.3393089308930892,0.33558781782475366,0.23384065627456804,0.20670380509683076,0.26661408563866895
2.3406340634063403,0.3356089653840034,0.233868336805095,0.20679726231211987,0.26670125860535104
2.341959195919592,0.33562965594186084,0.233895836814151,0.20689053989505005,0.2667881284583388
2.3432843284328433,0.33564988993219536,0.23392315644524647,0.20698363781561338,0.2668746952581967
2.3446094609460943,0.33566966778998625,0.23395029584205346,0.2070765560442787,0.26696095906636685
2.345934593459346,0.3356889899513185,0.23397725514840534,0.20716929455199176,0.2670469199451676
2.347259725972597,0.33570785685337806,0.23400403450829604,0.20726185331017333,0.267132577957791
2.3485848584858484,0.3357262689344463,0.23403063406587904,0.20735423229071961,0.2672179331683014
2.3499099909991,0.33574422663389564,0.23405705396546678,0.2074464314660007,0.26730298564163263
2.351235123512351,0.3357617303921858,0.23408329435152983,0.20753845080885966,0.26738773544358696
2.3525602560256025,0.33577878065085726,0.2341093553686962,0.2076302902926126,0.26747218264083295
2.3538853885388535,0.335795377852528,0.23413523716175064,0.20772194989104714,0.26755632730090284
2.355210521052105,0.33581152244088863,0.23416093987563374,0.20781342957842197,0.2676401694921916
2.3565356535653565,0.3358272148606963,0.23418646365544116,0.20790472932946613,0.26772370928395406
2.3578607860786076,0.33584245555777203,0.23421180864642327,0.20799584911937788,0.2678069467463033
